Dec_r1_max,Dec_r1_min ,Dec_r2_max ,Dec_r2_min  ,deci_avg,T1,T2 ,traffic_avg,P1,P2,ped_average,longitude,latitude
,,,,0,,,0,,,0,-75.69088497,45.41837062
,,,,0,,17,8.5,,,0,-75.69155659,45.41947237
75.3,50.9,75.7,49.5,62.85,,,0,,,0,-75.69119667,45.41878036
,,,,0,,,0,,,0,-75.6929573,45.4204157
,,,,0,,,0,,,0,-75.69115298,45.41886274
,,,,0,,,0,,,0,-75.69284656,45.42054151
,,,,0,,,0,,,0,-75.68863071,45.41579986
,,,,0,,,0,,,0,-75.69243026,45.42016778
,,,,0,,,0,,,0,-75.68853469,45.41566551
,,,,0,,,0,,,0,-75.69068348,45.41827238
,,,,0,13,,6.5,,,0,-75.68920084,45.41650141
69.3,50.7,80.7,51.6,63.075,,,0,,,0,-75.6880564,45.4153291
,,,,0,,,0,,,0,-75.69287593,45.42062315
,,,,0,,,0,,,0,-75.68855435,45.41576795
,,,,0,,,0,21,,10.5,-75.69154507,45.41956289
,,,,0,,,0,,,0,-75.69146299,45.41921372
,,,,0,,,0,,,0,-75.68864389,45.41566688
70.8,53.4,67.1,51,60.575,,,0,,,0,-75.69083059,45.4187056
81.4,53.6,77.7,54.5,66.8,,,0,,,0,-75.69140446,45.41902378
,,,,0,,,0,13,9,11,-75.69180881,45.41947597
,,,,0,,,0,,,0,-75.6930508,45.4212206
80.9,52.2,71.2,54.2,64.625,,,0,,,0,-75.68837311,45.41543615
,,,,0,7,2,4.5,,,0,-75.68838728,45.4155406
,,,,0,8,10,9,,,0,-75.69118028,45.41582092
,,,,0,3,2,2.5,,,0,-75.691352,45.4158774
,,,,0,,,0,,,0,-75.6892192,45.4166865
,,,,0,,,0,,,0,-75.6926442,45.42038267
,,,,0,,,0,9,8,8.5,-75.68908126,45.41646064
67.3,52.1,74.3,50.9,61.15,,,0,,,0,-75.6888315,45.4160066
,,,,0,,,0,,,0,-75.69308926,45.42104522
,,,,0,,,0,1,9,5,-75.6876492,45.41456055
,,,,0,,,0,,,0,-75.69008699,45.4174835
,,,,0,,,0,,,0,-75.69141602,45.41905811
,,,,0,,,0,,,0,-75.69016009,45.41763279
,,,,0,,,0,,,0,-75.6931683,45.4207158
,,,,0,,,0,,,0,-75.6923985,45.4268359
,,,,0,,,0,,,0,-75.6921252,45.4271047
,,,,0,,,0,,,0,-75.69531088,45.42811153
,,,,0,,,0,,,0,-75.69532922,45.42815344
,,,,0,,,0,12,11,11.5,-75.695089,45.428096
,,,,0,,,0,,,0,-75.6951585,45.4281173
,,,,0,,,0,,,0,-75.69523811,45.42822252
,,,,0,,,0,34,37,35.5,-75.70146149,45.41318507
,,,,0,,,0,,,0,-75.69539647,45.42798635
,,,,0,,,0,,,0,-75.69522078,45.42816141
,,,,0,,,0,,,0,-75.69482803,45.42837139
,,,,0,,,0,,,0,-75.69204082,45.42760752
,,,,0,6,12,9,,,0,-75.68982132,45.42717538
,,,,0,,,0,,,0,-75.6946731,45.4283539
,,,,0,,,0,,,0,-75.69499966,45.42834029
,,,,0,,,0,,,0,-75.69239318,45.42720186
,,,,0,11,5,8,,,0,-75.69383102,45.42626657
,,,,0,,,0,2,6,4,-75.694378,45.428238
,,,,0,,,0,,,0,-75.6953279,45.4280842
,,,,0,7,,3.5,,,0,-75.69485926,45.42725452
,,,,0,,,0,,,0,-75.69406791,45.42887548
,,,,0,,,0,,,0,-75.69449595,45.42841073
,,,,0,,,0,,,0,-75.6919074,45.4273186
,,,,0,,,0,,,0,-75.69274727,45.42811291
,,,,0,,,0,,,0,-75.6947106,45.4284627
,,,,0,4,5,4.5,,,0,-75.69523446,45.428113
,,,,0,,,0,,,0,-75.69534506,45.42808166
,,,,0,,,0,,,0,-75.694396,45.428653
,,,,0,,,0,,,0,-75.69472796,45.42833014
70.2,50.7,71.1,56.8,62.2,,,0,,,0,-75.69542322,45.4281672
,,,,0,,,0,,,0,-75.6945142,45.4282966
,,,,0,,,0,,,0,-75.69502512,45.42807899
,,,,0,,,0,9,16,12.5,-75.694444,45.42862
,,,,0,,,0,,,0,-75.69435247,45.42862136
,,,,0,,,0,,,0,-75.69506889,45.42826187
,,,,0,,,0,,,0,-75.69380651,45.42857136
,,,,0,,,0,,,0,-75.69457057,45.42841054
,,,,0,,,0,,,0,-75.6926678,45.4273578
,,,,0,,,0,,,0,-75.6944406,45.4283456
,,,,0,,,0,,,0,-75.69262278,45.42812238
,,,,0,17,21,19,,,0,-75.6938801,45.4262418
75.2,50.2,82.3,52,64.925,,,0,,,0,-75.69190474,45.42958545
,,,,0,,,0,,,0,-75.69419718,45.42850909
