d,d,d,d,deci_avg,d,d,traff_avg,d,d,ped_average,longitude,latitude
,,,,0,,,0,,,0,-75.6892192,45.4166865
,,,,0,,,0,,,0,-75.6926442,45.42038267
,,,,0,,,0,9,8,8.5,-75.68908126,45.41646064
67.3,52.1,74.3,50.9,61.15,,,0,,,0,-75.6888315,45.4160066
,,,,0,,,0,,,0,-75.69308926,45.42104522
,,,,0,,,0,1,9,5,-75.6876492,45.41456055
,,,,0,,,0,,,0,-75.69008699,45.4174835
,,,,0,,,0,,,0,-75.69141602,45.41905811
,,,,0,,,0,,,0,-75.69016009,45.41763279
,,,,0,,,0,,,0,-75.69487193,45.42433485
67.8,56.1,65.6,53.6,60.775,,,0,,,0,-75.6930399,45.4279341
73.6,58.4,71.4,50.2,63.4,,,0,,,0,-75.687939,45.416862
,,,,0,,,0,,,0,-75.68868365,45.41519014
72.5,50.7,,,0,,,0,,,0,-75.687939,45.416862
,,,,0,,,0,,,0,-75.68877886,45.41591398
