green_space,veg_index,longitude,latitude
,,-75.6843779,45.4000221
,,-75.68473223,45.39998241
,,-75.68441808,45.39948131
,,-75.68651711,45.39976627
,1,-75.68418563,45.40009964
,,-75.6846017,45.3988245
,,-75.6783432,45.4016608
,2,-75.67955396,45.40077915
,,-75.68447114,45.40001867
,,-75.68381162,45.40034716
,,-75.6848356,45.399434
2,,100.47396,13.79162005
,,-75.68745482,45.40148929
,,-75.684089,45.400485
,,-75.68879435,45.40338804
,,-75.68401096,45.4001816
,,-75.70777173,45.37671213
,,-75.684593,45.399135
,,-75.68480267,45.3996011
,,-75.68381541,45.40023009
,,-75.6860014,45.3989872
,,-75.6849731,45.3990165
,,-75.68499931,45.39930391
,,-75.68520709,45.39997644
,,-75.6858507,45.3983931
,,-75.6856984,45.3988238
,,-75.68469976,45.399926
,,-75.68615467,45.39932251
,,-75.67999869,45.39972175
4,,-75.6838183,45.3989052
,,-75.6889024,45.4168112
3,,-75.6897876,45.41727029
,,-75.68976514,45.4171309
,1,-75.68997739,45.41738577
,,-75.6809709,45.4022448
,,-75.6820282,45.400017
,,-75.6900061,45.4172591
,,-75.68984009,45.41728294
,2,-75.689939,45.417043
,,-75.6897981,45.41712066
,,-75.68989514,45.41726258
,1,-75.68737456,45.41766727
,,-75.68962782,45.41705841
,1,-75.69011665,45.4175269
,,-75.689958,45.417557
,,-75.6896055,45.4170477
,,-75.69011449,45.41764679
1,,-75.68999764,45.41743509
,1,-75.6893826,45.416905
,,-75.68657874,45.41529579
,,-75.69000014,45.41743525
,,-75.68995211,45.41759699
,,-75.6908569,45.4176516
,,-75.68701026,45.41355937
1,,-75.6901345,45.41788684
,,-75.6898485,45.41728333
,,-75.68987193,45.41739585
,,-75.69039024,45.41804497
,,-75.69087399,45.41821231
,1,-75.69054206,45.41805924
,,-75.690308,45.417617
,,-75.6898825,45.4172032
,,-75.69020236,45.41761246
,,-75.6902163,45.41778848
,,-75.69044,45.4178064
,,-75.686779,45.4137983
,,-75.6887961,45.4160652
,,-75.68987252,45.41737817
,,-75.68983235,45.41729423
,,-75.69001321,45.41746198
,,-75.68977937,45.41712993
,,-75.68739944,45.41442999
2,,-75.69064387,45.41819682
,,-75.6900364,45.4173471
,,-75.69075739,45.4183096
,,-75.6869686,45.41382424
,1,-75.69090308,45.41844778
,,-75.68971511,45.41751849
,,-75.68779272,45.41527702
